-----------
Timer report 0 (3408 timers)
--------------
[0] root 7.12166 100.0% 1 18536020952 2602.8 MFlops 
   [1] EBINS::define 4.22517 59.3% 1 128000    0.0 MFlops 
      [4] EBPoissonOp::define 2.24569 31.5% 2 0    0.0 MFlops 
         [5] get2ndOrderDivFStencil 1.78254 25.0% 131072 0    0.0 MFlops 
                        [252] EBPoissonOp::defineCoarser 0.01265  0.2% 1 0    0.0 MFlops 
                           [253] EBPoissonOp::constructor 0.01264  0.2% 1 0    0.0 MFlops 
                              [459] get2ndOrderDivFStencil 0.00353  0.0% 512 0    0.0 MFlops 
                                 [1088] EBGraph::isConnected 0.00053  0.0% 8820 0    0.0 MFlops 
                              [712] EBPoissonOp::defineCoarser 0.00231  0.0% 1 0    0.0 MFlops 
                                 [713] EBPoissonOp::constructor 0.00230  0.0% 1 0    0.0 MFlops 
                                    [1048] EBPoissonOp::defineCoarser 0.00069  0.0% 1 0    0.0 MFlops 
                                       [1049] EBPoissonOp::constructor 0.00068  0.0% 1 0    0.0 MFlops 
                                          [1114] AggSten.constructor 0.00045  0.0% 10 0    0.0 MFlops 
                                             [2910] EBGraph::getIrregVoFs 0.00000  0.0% 20 0    0.0 MFlops 
                                                [3132] EBGraph::getIrregCells 0.00000  0.0% 20 0    0.0 MFlops 
                                          [2207] get2ndOrderDivFStencil 0.00003  0.0% 8 0    0.0 MFlops 
                                             [2876] EBGraph::isConnected 0.00000  0.0% 36 0    0.0 MFlops 
                                          [2221] EBPoissonOp::fillkappa 0.00003  0.0% 1 0    0.0 MFlops 
                                             [2408] EBLevelBoxData::exchange 0.00002  0.0% 1 0    0.0 MFlops 
                                                [2414] EBLevelBoxData::exchangeWithGPU 0.00002  0.0% 1 0    0.0 MFlops 
                                                   [2574] EBLevelBoxData::copyToHost 0.00001  0.0% 1 0    0.0 MFlops 
                                                   [2825] EBLevelBoxData::copyToDevice 0.00000  0.0% 1 0    0.0 MFlops 
                                                   [3002] DistributedData constructor 0.00000  0.0% 1 0    0.0 MFlops 
                                                      [3297] HostBoxData::define(Box) (memory allocation) 0.00000  0.0% 1 0    0.0 MFlops 
                                                      [3305] EBGraph::getIrregVoFs 0.00000  0.0% 1 0    0.0 MFlops 
                                                         [3385] EBGraph::getIrregCells 0.00000  0.0% 1 0    0.0 MFlops 
                                                   [3038] DistributedData::exchange 0.00000  0.0% 1 0    0.0 MFlops 
                                                      [3223] BoxPattern::exchange constructor 0.00000  0.0% 1 0    0.0 MFlops 
                                                      [3275] DistributedData::communicate 0.00000  0.0% 1 0    0.0 MFlops 
                                                         [3310] DistributedData::doLocalCopies 0.00000  0.0% 1 0    0.0 MFlops 
                                                      [3386] CommunicationMetaData constructor 0.00000  0.0% 1 0    0.0 MFlops 
                                             [2719] ebforall 0.00001  0.0% 1 0    0.0 MFlops 
                                                [2728] forallInPlaceBase 0.00001  0.0% 1 0    0.0 MFlops 
                                                   [2739] protoForall 0.00001  0.0% 1 0    0.0 MFlops 
                                                      [2749] BoxData::makevars 0.00001  0.0% 1 0    0.0 MFlops 
                                                         [2759] indexer 0.00000  0.0% 1 0    0.0 MFlops 
                                             [3114] HostBoxData::define(Box) (memory allocation) 0.00000  0.0% 1 0    0.0 MFlops 
                                             [3292] EBGraph::getIrregVoFs 0.00000  0.0% 1 0    0.0 MFlops 
                                                [3384] EBGraph::getIrregCells 0.00000  0.0% 1 0    0.0 MFlops 
                                          [2385] DistributedData constructor 0.00002  0.0% 5 0    0.0 MFlops 
                                             [3136] EBGraph::getIrregVoFs 0.00000  0.0% 5 0    0.0 MFlops 
                                                [3304] EBGraph::getIrregCells 0.00000  0.0% 5 0    0.0 MFlops 
                                          [2478] HostBoxData::setval 0.00002  0.0% 1 0    0.0 MFlops 
                                          [3238] EBGraph::getIrregVoFs 0.00000  0.0% 2 0    0.0 MFlops 
                                             [3352] EBGraph::getIrregCells 0.00000  0.0% 2 0    0.0 MFlops 
                                          [3246] HostBoxData::define(Box) (memory allocation) 0.00000  0.0% 1 0    0.0 MFlops 
                                          [3331] EBPoissonOp::defineCoarser 0.00000  0.0% 1 0    0.0 MFlops 
                                       [2666] DistributedData constructor 0.00001  0.0% 2 0    0.0 MFlops 
                                          [3202] EBGraph::getIrregVoFs 0.00000  0.0% 2 0    0.0 MFlops 
                                             [3365] EBGraph::getIrregCells 0.00000  0.0% 2 0    0.0 MFlops 
                                    [1061] AggSten.constructor 0.00059  0.0% 10 0    0.0 MFlops 
                                       [2918] EBGraph::getIrregVoFs 0.00000  0.0% 20 0    0.0 MFlops 
                                          [3160] EBGraph::getIrregCells 0.00000  0.0% 20 0    0.0 MFlops 
