-----------
Timer report 0 (4883 timers)
--------------
[0] root 4678.00485 100.0% 1 206066009118   44.0 MFlops 
   [1] EBINS::run 4659.95578 99.6% 1 206064626718   44.2 MFlops 
                                       [3054] EBPoissonOp::restrictOnProc 0.01761  0.0% 5400 259200   14.7 MFlops 
                                          [3216] EBStencil::apply 0.01090  0.0% 5400 259200   23.8 MFlops 
                                             [3246] EBStencil::applyITZ 0.01012  0.0% 5400 259200   25.6 MFlops 
                                                [3412] AggSten::apply 0.00621  0.0% 5400 259200   41.7 MFlops 
                                 [697] EBPoissonOp::residual 4.16870  0.1% 5400 27367200    6.6 MFlops 
                                    [842] EBMultigrid::applyOp 2.49110  0.1% 5400 18727200    7.5 MFlops 
                                       [951] EBLevelBoxData::exchange 1.88637  0.0% 5400 0    0.0 MFlops 
                                          [952] EBLevelBoxData::exchangeCPUOnly 1.88538  0.0% 5400 0    0.0 MFlops 
                                             [975] DistributedData::exchange 1.71570  0.0% 5400 0    0.0 MFlops 
                                                [1123] DistributedData::communicate 1.16554  0.0% 5400 0    0.0 MFlops 
                                                   [1124] DistributedData::doLocalCopies 1.16454  0.0% 5400 0    0.0 MFlops 
                                                      [1125] DistributedData::doLocalCopiesWithCopy 1.16362  0.0% 5400 0    0.0 MFlops 
                                                         [1217] HostBoxData::copy 0.89006  0.0% 453600 0    0.0 MFlops 
                                                         [2351] HostIrregData::copy 0.11012  0.0% 453600 0    0.0 MFlops 
                                                [1491] BoxPattern::exchange constructor 0.53659  0.0% 5400 0    0.0 MFlops 
                                                [4232] CommunicationMetaData constructor 0.00022  0.0% 5400 0    0.0 MFlops 
                                             [2228] DistributedData constructor 0.14289  0.0% 5400 0    0.0 MFlops 
                                       [1779] ebforall_i 0.31339  0.0% 86400 0    0.0 MFlops 
                                          [1849] protoForall_i 0.28377  0.0% 86400 0    0.0 MFlops 
                                             [2104] BoxData::makevars_i 0.17320  0.0% 86400 0    0.0 MFlops 
                                                [2209] indexer_i 0.14551  0.0% 86400 0    0.0 MFlops 
                                       [2318] EBStencil::apply 0.11982  0.0% 86400 18727200  156.3 MFlops 
                                          [2375] EBStencil::applyITZ 0.10364  0.0% 86400 18727200  180.7 MFlops 
                                             [2531] AggSten::apply 0.07658  0.0% 86400 18727200  244.5 MFlops 
                                    [1059] BoxData::setVal 1.37691  0.0% 86400 8640000    6.3 MFlops 
