-----------
Timer report 0 (3550 timers)
--------------
[0] root 2443.78119 100.0% 1 311486647722  127.5 MFlops 
   [1] EBINS::run 2035.71966 83.3% 1 311479182762  153.0 MFlops 
      [2] EBINS::advanceVelocityAndPressure 1944.88850 79.6% 10 306559439232  157.6 MFlops 
         [3] EBINS::advanceVelocityNavierStokes 896.60751 36.7% 10 230354807712  256.9 MFlops 
            [4] EBMultigrid::solve 896.03597 36.7% 30 230315486112  257.0 MFlops 
               [5] sgmg::vcycle 813.92177 33.3% 114 216226096416  265.7 MFlops 
                  [6] sgmglevel::vcycle 813.92160 33.3% 114 216226096416  265.7 MFlops 
                                       [2160] EBLevelBoxData::exchange 0.00079  0.0% 114 0    0.0 MFlops 
                                          [2170] EBLevelBoxData::exchangeCPUOnly 0.00077  0.0% 114 0    0.0 MFlops 
                                             [2383] DistributedData constructor 0.00034  0.0% 114 0    0.0 MFlops 
                                             [2466] DistributedData::exchange 0.00025  0.0% 114 0    0.0 MFlops 
                                                [2602] BoxPattern::exchange constructor 0.00011  0.0% 114 0    0.0 MFlops 
                                                [2859] DistributedData::communicate 0.00004  0.0% 114 0    0.0 MFlops 
                                                   [2949] DistributedData::doLocalCopies 0.00002  0.0% 114 0    0.0 MFlops 
                                                      [3150] DistributedData::doLocalCopiesWithCopy 0.00001  0.0% 114 0    0.0 MFlops 
                                                [3173] CommunicationMetaData constructor 0.00001  0.0% 114 0    0.0 MFlops 
                                    [2125] ebforall 0.00094  0.0% 114 0    0.0 MFlops 
