-----------
Timer report 0 (4410 timers)
--------------
[0] root 4296.69593 100.0% 1 147010383480   34.2 MFlops 
   [1] EBINS::run 4292.78935 99.9% 1 147010037880   34.2 MFlops 
                                                [1268] EBStencil::apply 0.30771  0.0% 10800 3628800   11.8 MFlops 
                                                   [1401] BoxData::setVal 0.21639  0.0% 10800 1555200    7.2 MFlops 
                                                      [1404] BoxData::operator 0.21461  0.0% 10800 1555200    7.2 MFlops 
                                                         [2994] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00485  0.0% 10800 0    0.0 MFlops 
                                                   [2381] EBGraph::getIrregVoFs 0.03162  0.0% 10800 0    0.0 MFlops 
                                                      [2737] EBGraph::getIrregCells 0.01160  0.0% 10800 0    0.0 MFlops 
                                                   [2722] EBStencil::applyITZ 0.01213  0.0% 10800 518400   42.7 MFlops 
                                                      [2859] AggSten::apply 0.00841  0.0% 10800 518400   61.6 MFlops 
                                                   [2967] BoxData::operator+= 0.00534  0.0% 10800 1555200  291.5 MFlops 
                                                      [3058] BoxData::operator(BoxData&) 0.00381  0.0% 10800 1555200  408.2 MFlops 
                                             [1502] EBLevelBoxData::copyTo 0.17255  0.0% 5400 0    0.0 MFlops 
                                                [1506] EBLevelBoxData::copyToCPUOnly 0.17168  0.0% 5400 0    0.0 MFlops 
                                                   [1768] DistributedData::copyTo 0.09351  0.0% 5400 0    0.0 MFlops 
                                                      [2045] DistributedData::communicate 0.05683  0.0% 5400 0    0.0 MFlops 
                                                         [2053] DistributedData::doLocalCopies 0.05604  0.0% 5400 0    0.0 MFlops 
                                                      [2391] BoxPattern::exchange constructor 0.03109  0.0% 5400 0    0.0 MFlops 
                                                      [3673] CommunicationMetaData constructor 0.00023  0.0% 5400 0    0.0 MFlops 
                                                   [2050] DistributedData constructor 0.05613  0.0% 10800 0    0.0 MFlops 
                                             [3710] EBPoissonOp::getDataOnRefinedCoarseLayout 0.00020  0.0% 2700 0    0.0 MFlops 
                                       [1170] EBPoissonOp::residual 0.40454  0.0% 2700 1817100    4.5 MFlops 
                                          [1408] EBMultigrid::applyOp 0.21367  0.0% 2700 737100    3.4 MFlops 
                                             [1574] EBLevelBoxData::exchange 0.14485  0.0% 2700 0    0.0 MFlops 
                                                [1577] EBLevelBoxData::exchangeCPUOnly 0.14432  0.0% 2700 0    0.0 MFlops 
                                                   [1669] DistributedData::exchange 0.11736  0.0% 2700 0    0.0 MFlops 
                                                      [1863] DistributedData::communicate 0.07949  0.0% 2700 0    0.0 MFlops 
                                                         [1864] DistributedData::doLocalCopies 0.07908  0.0% 2700 0    0.0 MFlops 
                                                      [2299] BoxPattern::exchange constructor 0.03488  0.0% 2700 0    0.0 MFlops 
                                                      [3839] CommunicationMetaData constructor 0.00010  0.0% 2700 0    0.0 MFlops 
                                                   [2536] DistributedData constructor 0.02057  0.0% 2700 0    0.0 MFlops 
                                             [2271] ebforall_i 0.03627  0.0% 10800 0    0.0 MFlops 
                                                [2370] protoForall_i 0.03218  0.0% 10800 0    0.0 MFlops 
                                                   [2552] BoxData::makevars_i 0.01969  0.0% 10800 0    0.0 MFlops 
                                                      [2616] indexer_i 0.01653  0.0% 10800 0    0.0 MFlops 
                                             [2726] EBStencil::apply 0.01187  0.0% 10800 737100   62.1 MFlops 
                                                [2804] EBStencil::applyITZ 0.00963  0.0% 10800 737100   76.6 MFlops 
                                                   [2913] AggSten::apply 0.00653  0.0% 10800 737100  112.8 MFlops 
                                          [1554] BoxData::setVal 0.15365  0.0% 10800 1080000    7.0 MFlops 
                                             [1561] BoxData::operator 0.15196  0.0% 10800 1080000    7.1 MFlops 
                                                [3023] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00440  0.0% 10800 0    0.0 MFlops 
                                          [2458] ebforall 0.02589  0.0% 10800 0    0.0 MFlops 
                                             [2495] forallInPlaceBase 0.02282  0.0% 10800 0    0.0 MFlops 
                                                [2523] protoForall 0.02106  0.0% 10800 0    0.0 MFlops 
                                                   [2708] BoxData::makevars 0.01258  0.0% 10800 0    0.0 MFlops 
                                                      [2754] indexer 0.01095  0.0% 10800 0    0.0 MFlops 
                                       [1742] EBPoissonOp::restrict 0.09766  0.0% 2700 129600    1.3 MFlops 
                                          [1762] EBPoissonOp::restrictAgglom 0.09522  0.0% 2700 129600    1.4 MFlops 
                                             [1797] EBLevelBoxData::copyTo 0.08770  0.0% 2700 0    0.0 MFlops 
                                                [1799] EBLevelBoxData::copyToCPUOnly 0.08724  0.0% 2700 0    0.0 MFlops 
                                                   [2128] DistributedData::copyTo 0.04720  0.0% 2700 0    0.0 MFlops 
                                                      [2433] DistributedData::communicate 0.02778  0.0% 2700 0    0.0 MFlops 
                                                         [2440] DistributedData::doLocalCopies 0.02740  0.0% 2700 0    0.0 MFlops 
                                                      [2614] BoxPattern::exchange constructor 0.01657  0.0% 2700 0    0.0 MFlops 
                                                      [3819] CommunicationMetaData constructor 0.00011  0.0% 2700 0    0.0 MFlops 
                                                   [2427] DistributedData constructor 0.02816  0.0% 5400 0    0.0 MFlops 
                                             [2961] EBPoissonOp::restrictOnProc 0.00545  0.0% 2700 129600   23.8 MFlops 
                                                [3110] EBStencil::apply 0.00323  0.0% 2700 129600   40.1 MFlops 
                                                   [3151] EBStencil::applyITZ 0.00288  0.0% 2700 129600   45.0 MFlops 
                                                      [3247] AggSten::apply 0.00190  0.0% 2700 129600   68.2 MFlops 
