-----------
Timer report 0 (861 timers)
--------------
[0] root 12.36497 100.0% 1 57056588    4.6 MFlops 
   [1] LevelGeometryService::LevelGeometryService 6.91072 55.9% 1 0    0.0 MFlops 
      [2] LevelGeometryService::defineFinestLevel 6.91052 55.9% 1 0    0.0 MFlops 
         [3] LevelGeometryService::fillGraph 6.85144 55.4% 16 0    0.0 MFlops 
            [4] boxiterator loop 6.27048 50.7% 16 0    0.0 MFlops 
               [5] ifdata constructor 2 5.55589 44.9% 23104 0    0.0 MFlops 
                  [6] ifdata::setNormalDerivatives 5.30803 42.9% 23104 0    0.0 MFlops 
                  [35] sgmglevel::vcycle 0.37551  3.0% 7 1700356    4.5 MFlops 
                     [46] EBMultigridLevel::relax 0.20650  1.7% 14 1210944    5.9 MFlops 
                        [58] EBMultigridLevel::residual 0.16831  1.4% 112 1210944    7.2 MFlops 
                           [66] EBMultigrid::applyOp 0.14773  1.2% 112 1210944    8.2 MFlops 
                              [111] EBLevelBoxData::exchange 0.06612  0.5% 56 0    0.0 MFlops 
                                 [138] exchange 0.04691  0.4% 56 0    0.0 MFlops 
                                    [139] makeItSoLocalCopy 0.04688  0.4% 56 0    0.0 MFlops 
                                       [140] local copying 0.04687  0.4% 56 0    0.0 MFlops 
                                          [146] EBHostData::copy 0.04495  0.4% 5600 0    0.0 MFlops 
                                             [161] copy_reg_data 0.03175  0.3% 5600 0    0.0 MFlops 
                                                [162] HostBoxData::copy 0.03120  0.3% 5600 0    0.0 MFlops 
                                             [246] copy_irr_data 0.01226  0.1% 5600 0    0.0 MFlops 
                                                [248] HostIrregData::copy 0.01170  0.1% 5600 0    0.0 MFlops 
                                    [784] makeItSoEnd 0.00000  0.0% 56 0    0.0 MFlops 
                                    [786] makeItSoBegin 0.00000  0.0% 56 0    0.0 MFlops 
                                 [225] EBGraph::getIrregVoFs 0.01606  0.1% 896 0    0.0 MFlops 
                                    [311] EBGraph::getIrregCells 0.00660  0.1% 896 0    0.0 MFlops 
                                 [550] ~LayoutData 0.00047  0.0% 56 0    0.0 MFlops 
                                 [603] EBLevelBoxData::copyToDevice 0.00024  0.0% 56 0    0.0 MFlops 
                                 [617] EBLevelBoxData::copyToHost 0.00021  0.0% 56 0    0.0 MFlops 
                                 [623] HostBoxData::define(Box) (memory allocation) 0.00019  0.0% 896 0    0.0 MFlops 
                                 [751] ~Copier 0.00001  0.0% 56 0    0.0 MFlops 
                                 [792] ~BoxLayoutData 0.00000  0.0% 56 0    0.0 MFlops 
                                 [799] ~LevelData 0.00000  0.0% 56 0    0.0 MFlops 
                              [133] EBStencil::apply 0.05024  0.4% 1792 1210944   24.1 MFlops 
                                 [134] EBStencil::applyITZ 0.05005  0.4% 1792 1210944   24.2 MFlops 
                                    [142] Stencil::apply 0.04651  0.4% 5376 516096   11.1 MFlops 
                                    [411] AggSten::apply 0.00225  0.0% 1344 694848  308.8 MFlops 
                              [167] ebforall 0.02836  0.2% 1792 0    0.0 MFlops 
                                 [219] irreg_forall 0.01807  0.1% 1792 0    0.0 MFlops 
                                 [269] regular_forall 0.00990  0.1% 1792 0    0.0 MFlops 
                                    [271] forallInPlaceBase 0.00961  0.1% 1792 0    0.0 MFlops 
                           [211] ebforall 0.01950  0.2% 1792 0    0.0 MFlops 
                              [242] irreg_forall 0.01283  0.1% 1792 0    0.0 MFlops 
                              [319] regular_forall 0.00628  0.1% 1792 0    0.0 MFlops 
                                 [323] forallInPlaceBase 0.00603  0.0% 1792 0    0.0 MFlops 
                        [152] ebforall gsrb bit 0.03812  0.3% 112 0    0.0 MFlops 
                           [154] ebforall_i 0.03651  0.3% 1792 0    0.0 MFlops 
                              [191] irreg_forall_i 0.02302  0.2% 1792 0    0.0 MFlops 
                              [239] regular_forall_i 0.01310  0.1% 1792 0    0.0 MFlops 
                     [74] sgmglevel::vcycle 0.13288  1.1% 7 356160    2.7 MFlops 
                        [75] EBMultigridLevel::relax 0.13270  1.1% 14 356160    2.7 MFlops 
                           [82] EBMultigridLevel::residual 0.11328  0.9% 112 356160    3.1 MFlops 
                              [85] EBMultigrid::applyOp 0.10203  0.8% 112 356160    3.5 MFlops 
                                 [130] EBLevelBoxData::exchange 0.05275  0.4% 56 0    0.0 MFlops 
                                    [155] exchange 0.03584  0.3% 56 0    0.0 MFlops 
                                       [156] makeItSoLocalCopy 0.03582  0.3% 56 0    0.0 MFlops 
                                          [157] local copying 0.03581  0.3% 56 0    0.0 MFlops 
                                             [158] EBHostData::copy 0.03389  0.3% 5600 0    0.0 MFlops 
                                                [208] copy_reg_data 0.01978  0.2% 5600 0    0.0 MFlops 
                                                   [216] HostBoxData::copy 0.01923  0.2% 5600 0    0.0 MFlops 
                                                [238] copy_irr_data 0.01317  0.1% 5600 0    0.0 MFlops 
                                                   [245] HostIrregData::copy 0.01262  0.1% 5600 0    0.0 MFlops 
                                       [782] makeItSoBegin 0.00000  0.0% 56 0    0.0 MFlops 
                                       [783] makeItSoEnd 0.00000  0.0% 56 0    0.0 MFlops 
                                    [232] EBGraph::getIrregVoFs 0.01396  0.1% 896 0    0.0 MFlops 
                                       [349] EBGraph::getIrregCells 0.00454  0.0% 896 0    0.0 MFlops 
                                    [556] ~LayoutData 0.00041  0.0% 56 0    0.0 MFlops 
                                    [621] EBLevelBoxData::copyToHost 0.00020  0.0% 56 0    0.0 MFlops 
                                    [622] EBLevelBoxData::copyToDevice 0.00019  0.0% 56 0    0.0 MFlops 
                                    [624] HostBoxData::define(Box) (memory allocation) 0.00019  0.0% 896 0    0.0 MFlops 
                                    [754] ~Copier 0.00001  0.0% 56 0    0.0 MFlops 
                                    [794] ~BoxLayoutData 0.00000  0.0% 56 0    0.0 MFlops 
                                    [800] ~LevelData 0.00000  0.0% 56 0    0.0 MFlops 
                                 [159] EBStencil::apply 0.03241  0.3% 1792 356160   11.0 MFlops 
                                    [160] EBStencil::applyITZ 0.03222  0.3% 1792 356160   11.1 MFlops 
                                       [164] Stencil::apply 0.02975  0.2% 5376 172032    5.8 MFlops 
                                       [465] AggSten::apply 0.00120  0.0% 1344 184128  153.7 MFlops 
                                 [230] ebforall 0.01422  0.1% 1792 0    0.0 MFlops 
                                    [286] irreg_forall 0.00873  0.1% 1792 0    0.0 MFlops 
                                    [345] regular_forall 0.00511  0.0% 1792 0    0.0 MFlops 
                                       [347] forallInPlaceBase 0.00484  0.0% 1792 0    0.0 MFlops 
                              [263] ebforall 0.01018  0.1% 1792 0    0.0 MFlops 
                                 [317] irreg_forall 0.00639  0.1% 1792 0    0.0 MFlops 
                                 [367] regular_forall 0.00341  0.0% 1792 0    0.0 MFlops 
                                    [383] forallInPlaceBase 0.00316  0.0% 1792 0    0.0 MFlops 
                           [214] ebforall gsrb bit 0.01936  0.2% 112 0    0.0 MFlops 
                              [221] ebforall_i 0.01778  0.1% 1792 0    0.0 MFlops 
                                 [254] irreg_forall_i 0.01084  0.1% 1792 0    0.0 MFlops 
                                 [314] regular_forall_i 0.00656  0.1% 1792 0    0.0 MFlops 
                     [207] sgmglevel::prolong 0.02010  0.2% 7 50176    2.5 MFlops 
                        [210] EBStencil::apply 0.01955  0.2% 448 50176    2.6 MFlops 
                           [295] EBGraph::getIrregVoFs 0.00804  0.1% 448 0    0.0 MFlops 
                              [374] EBGraph::getIrregCells 0.00330  0.0% 448 0    0.0 MFlops 
                           [416] EBStencil::applyITZ 0.00210  0.0% 448 21504   10.3 MFlops 
                              [448] Stencil::apply 0.00146  0.0% 448 5376    3.7 MFlops 
                              [555] AggSten::apply 0.00041  0.0% 448 16128   39.1 MFlops 
                           [437] BoxData::setval 0.00162  0.0% 448 0    0.0 MFlops 
                              [607] slice(BoxData<T,C,D,E>&, int, int, int) 0.00023  0.0% 448 0    0.0 MFlops 
                           [569] BoxData::operator+= 0.00035  0.0% 448 28672   81.6 MFlops 
                           [669] BoxData::defineMalloc(Box) (memory allocation) 0.00011  0.0% 448 0    0.0 MFlops 
                     [228] EBMultigridLevel::residual 0.01465  0.1% 7 75684    5.2 MFlops 
                        [236] EBMultigrid::applyOp 0.01336  0.1% 7 75684    5.7 MFlops 
                           [294] EBLevelBoxData::exchange 0.00821  0.1% 7 0    0.0 MFlops 
                              [328] exchange 0.00586  0.0% 7 0    0.0 MFlops 
                                 [329] makeItSoLocalCopy 0.00586  0.0% 7 0    0.0 MFlops 
                                    [330] local copying 0.00586  0.0% 7 0    0.0 MFlops 
                                       [337] EBHostData::copy 0.00561  0.0% 700 0    0.0 MFlops 
                                          [357] copy_reg_data 0.00397  0.0% 700 0    0.0 MFlops 
                                             [359] HostBoxData::copy 0.00390  0.0% 700 0    0.0 MFlops 
                                          [445] copy_irr_data 0.00153  0.0% 700 0    0.0 MFlops 
                                             [449] HostIrregData::copy 0.00146  0.0% 700 0    0.0 MFlops 
                                 [815] makeItSoBegin 0.00000  0.0% 7 0    0.0 MFlops 
                                 [816] makeItSoEnd 0.00000  0.0% 7 0    0.0 MFlops 
                              [420] EBGraph::getIrregVoFs 0.00197  0.0% 112 0    0.0 MFlops 
                                 [506] EBGraph::getIrregCells 0.00080  0.0% 112 0    0.0 MFlops 
                              [701] ~LayoutData 0.00005  0.0% 7 0    0.0 MFlops 
                              [723] EBLevelBoxData::copyToDevice 0.00003  0.0% 7 0    0.0 MFlops 
                              [727] EBLevelBoxData::copyToHost 0.00002  0.0% 7 0    0.0 MFlops 
                              [729] HostBoxData::define(Box) (memory allocation) 0.00002  0.0% 112 0    0.0 MFlops 
                              [802] ~Copier 0.00000  0.0% 7 0    0.0 MFlops 
                              [826] ~BoxLayoutData 0.00000  0.0% 7 0    0.0 MFlops 
                              [830] ~LevelData 0.00000  0.0% 7 0    0.0 MFlops 
                           [380] EBStencil::apply 0.00317  0.0% 112 75684   23.9 MFlops 
                              [382] EBStencil::applyITZ 0.00316  0.0% 112 75684   24.0 MFlops 
                                 [392] Stencil::apply 0.00294  0.0% 336 32256   11.0 MFlops 
                                 [645] AggSten::apply 0.00014  0.0% 84 43428  312.2 MFlops 
                           [426] ebforall 0.00178  0.0% 112 0    0.0 MFlops 
                              [471] irreg_forall 0.00114  0.0% 112 0    0.0 MFlops 
                              [529] regular_forall 0.00062  0.0% 112 0    0.0 MFlops 
                                 [531] forallInPlaceBase 0.00060  0.0% 112 0    0.0 MFlops 
                        [463] ebforall 0.00123  0.0% 112 0    0.0 MFlops 
                           [504] irreg_forall 0.00081  0.0% 112 0    0.0 MFlops 
                           [560] regular_forall 0.00040  0.0% 112 0    0.0 MFlops 
                              [565] forallInPlaceBase 0.00038  0.0% 112 0    0.0 MFlops 
                     [480] sgmglevel::restrict 0.00099  0.0% 7 7392    7.4 MFlops 
                        [492] EBStencil::apply 0.00089  0.0% 112 7392    8.3 MFlops 
                           [496] EBStencil::applyITZ 0.00088  0.0% 112 7392    8.4 MFlops 
                              [510] Stencil::apply 0.00076  0.0% 112 5376    7.0 MFlops 
                              [691] AggSten::apply 0.00007  0.0% 84 2016   30.8 MFlops 
                     [579] BoxData::setval 0.00032  0.0% 112 0    0.0 MFlops 
                        [698] slice(BoxData<T,C,D,E>&, int, int, int) 0.00006  0.0% 112 0    0.0 MFlops 
                  [36] EBMultigridLevel::relax 0.37221  3.0% 14 3253824    8.7 MFlops 
                     [40] EBMultigridLevel::residual 0.29272  2.4% 112 3253824   11.1 MFlops 
                        [42] EBMultigrid::applyOp 0.25194  2.0% 112 3253824   12.9 MFlops 
                           [86] EBLevelBoxData::exchange 0.10160  0.8% 56 0    0.0 MFlops 
                              [97] exchange 0.08008  0.6% 56 0    0.0 MFlops 
                                 [98] makeItSoLocalCopy 0.08006  0.6% 56 0    0.0 MFlops 
                                    [99] local copying 0.08005  0.6% 56 0    0.0 MFlops 
                                       [101] EBHostData::copy 0.07811  0.6% 5600 0    0.0 MFlops 
                                          [120] copy_reg_data 0.06301  0.5% 5600 0    0.0 MFlops 
                                             [121] HostBoxData::copy 0.06245  0.5% 5600 0    0.0 MFlops 
                                          [231] copy_irr_data 0.01417  0.1% 5600 0    0.0 MFlops 
                                             [234] HostIrregData::copy 0.01361  0.1% 5600 0    0.0 MFlops 
                                 [779] makeItSoBegin 0.00000  0.0% 56 0    0.0 MFlops 
                                 [780] makeItSoEnd 0.00000  0.0% 56 0    0.0 MFlops 
                              [220] EBGraph::getIrregVoFs 0.01794  0.1% 896 0    0.0 MFlops 
                                 [305] EBGraph::getIrregCells 0.00712  0.1% 896 0    0.0 MFlops 
                              [542] HostBoxData::define(Box) (memory allocation) 0.00049  0.0% 896 0    0.0 MFlops 
                              [549] ~LayoutData 0.00047  0.0% 56 0    0.0 MFlops 
                              [592] EBLevelBoxData::copyToDevice 0.00027  0.0% 56 0    0.0 MFlops 
                              [604] EBLevelBoxData::copyToHost 0.00024  0.0% 56 0    0.0 MFlops 
                              [750] ~Copier 0.00001  0.0% 56 0    0.0 MFlops 
                              [795] ~BoxLayoutData 0.00000  0.0% 56 0    0.0 MFlops 
                              [798] ~LevelData 0.00000  0.0% 56 0    0.0 MFlops 
                           [93] EBStencil::apply 0.08829  0.7% 1792 3253824   36.9 MFlops 
                              [94] EBStencil::applyITZ 0.08809  0.7% 1792 3253824   36.9 MFlops 
                                 [95] Stencil::apply 0.08300  0.7% 5376 1849344   22.3 MFlops 
                                 [361] AggSten::apply 0.00375  0.0% 1344 1404480  374.8 MFlops 
                           [124] ebforall 0.05891  0.5% 1792 0    0.0 MFlops 
                              [153] irreg_forall 0.03795  0.3% 1792 0    0.0 MFlops 
                              [204] regular_forall 0.02056  0.2% 1792 0    0.0 MFlops 
                                 [206] forallInPlaceBase 0.02028  0.2% 1792 0    0.0 MFlops 
                        [150] ebforall 0.03969  0.3% 1792 0    0.0 MFlops 
                           [179] irreg_forall 0.02638  0.2% 1792 0    0.0 MFlops 
                           [241] regular_forall 0.01292  0.1% 1792 0    0.0 MFlops 
                              [244] forallInPlaceBase 0.01265  0.1% 1792 0    0.0 MFlops 
                     [100] ebforall gsrb bit 0.07941  0.6% 112 0    0.0 MFlops 
                        [102] ebforall_i 0.07777  0.6% 1792 0    0.0 MFlops 
                           [135] irreg_forall_i 0.04943  0.4% 1792 0    0.0 MFlops 
                           [168] regular_forall_i 0.02794  0.2% 1792 0    0.0 MFlops 
                  [181] sgmglevel::prolong 0.02566  0.2% 7 146160    5.7 MFlops 
                     [184] EBStencil::apply 0.02508  0.2% 448 146160    5.8 MFlops 
                        [284] EBGraph::getIrregVoFs 0.00894  0.1% 448 0    0.0 MFlops 
                           [365] EBGraph::getIrregCells 0.00352  0.0% 448 0    0.0 MFlops 
                        [370] EBStencil::applyITZ 0.00339  0.0% 448 81648   24.1 MFlops 
                           [405] Stencil::apply 0.00243  0.0% 448 21504    8.8 MFlops 
